alternative	adj.	[1, 40, 3]	可替代的、可供選擇的；非傳統的、另類的; ; 可供選擇的事物; ; |alternative
although	conj.	[0, -1, 2]	雖然; 
altitude	noun	[1, -1, 2]	海拔高度; 
altogether	adv.	[0, -1, 2]	全部、總共、總之; 
aluminium	noun	[1, -1, 2]	鋁; 
always	adv.	[0, -1, 2]	總是、一直; 
am	verb	[0, -1, 2]	(主語為第一人稱單數)是; 
amateur	adj./noun	[1, -1, 2]	業餘的、業餘愛好的；業餘愛好者、業餘運動員; 
amaze	verb	[1, -1, 2]	使驚奇; 
ambassador	noun	[1, -1, 2]	大使; 
ambiguity	noun	[2, 45, 3]	歧義、模稜兩可; ; |ambiguous
ambiguous	adj.	[2, 45, 3]	模稜兩可的、含混不清的; ; |ambiguous
ambition	noun	[1, -1, 2]	野心; 
ambitious	adj.	[1, -1, 2]	有野心的、雄心勃勃的; 
ambulance	noun	[0, -1, 2]	救護車; 
ambush	verb/noun	[2, -1, 2]	埋伏、伏擊; 
amend	verb	[2, 42, 3]	修訂、修正(法律文件等); ; |amend
amendment	noun	[2, 42, 3]	修正案、修訂; ; |amend
amends	noun	[2, 42, 3]	賠罪、賠償; ; |amend
America	noun	[0, -1, 2]	美國、美洲; 
American	adj./noun	[0, -1, 2]	美國的、美洲的；美國人; 
amiable	adj.	[2, -1, 2]	和藹可親的; 
amicable	adj.	[2, -1, 2]	友善的、友好的; 
amid	prep.	[1, -1, 2]	在…中; 
ammunition	noun	[2, -1, 2]	彈藥; 
amnesty	noun	[2, -1, 2]	赦免、赦免期; 
among	prep.	[0, -1, 2]	在...之中、在三者或以上之間; 
amount	noun	[0, -1, 2]	數量; 
ample	adj.	[2, -1, 2]	足夠的、豐富的; 
amplify	verb	[2, -1, 2]	擴大、增強; 
amuse	verb	[1, -1, 2]	逗樂、(使)娛樂; 
amusement	noun	[1, -1, 2]	愉悅、娛樂(活動); 
analogy	noun	[2, 46, 3]	類比、比喻; ; |analogy
analysis	noun	[1, 38, 3]	分析; ; |analyze
analyst	noun	[1, 38, 3]	分析者、化驗員; ; |analyze
analytical	adj.	[2, 38, 3]	分析的; = analytic; |analyze
analyze	verb	[1, 38, 3]	分析; = analyse (British English); |analyze
ancestor	noun	[1, -1, 2]	祖先; 
anchor	noun/verb	[2, -1, 2]	錨；拋錨、下錨; 
anchor	noun/verb	[2, -1, 2]	主持人；主持(電視、廣播節目); 
ancient	adj.	[0, -1, 2]	古代的、古老的; 
and	conj.	[0, -1, 2]	和、又、加上、接連; 
anecdote	noun	[2, -1, 2]	趣聞軼事; 
angel	noun	[0, -1, 2]	天使; 
anger	noun	[0, -1, 2]	憤怒、怒氣; 
angle	noun	[1, -1, 2]	角度、觀點; 
angler	noun	[2, -1, 2]	垂釣者; 
angry	adj.	[0, -1, 2]	生氣的、憤怒的; 
animal	noun	[0, -1, 2]	動物; 
animate	adj./verb	[2, -1, 2]	有生命的、有活力的；使有生命、使有活力; 
ankle	noun	[0, -1, 2]	腳踝; 
anniversary	noun	[1, -1, 2]	週年紀念日; 
announce	verb	[1, -1, 2]	宣布、公告、廣播; 
announcement	noun	[1, -1, 2]	宣布、公告; 
announcer	noun	[1, -1, 2]	廣播員; 
annoy	verb	[1, -1, 2]	使惱怒、打擾; 
annoyance	noun	[2, -1, 2]	惱怒、煩惱、令人煩惱的事; 
annual	adj./noun	[1, 41, 3]	每年的、一年一次的；年報、年刊; ; |annual
anonymous	adj.	[2, -1, 2]	匿名的、不具名的; 
another	pron./adj.	[0, -1, 2]	另一個、再一個；另外的、再一; 
answer	noun/verb	[0, -1, 2]	答案、回答；答覆、作答; 
ant	noun	[0, -1, 2]	螞蟻; 
Antarctic	adj./noun	[2, -1, 2]	南極的、南極地區的；南極、南極地區; = antarctic
antenna	noun	[2, -1, 2]	觸角、觸鬚；天線; 
anthem	noun	[2, -1, 2]	國歌、(群體的)團歌; 
antibiotic	noun/adj.	[2, -1, 2]	抗生素；抗菌的; 
antibody	noun	[2, -1, 2]	抗體; 
anticipate	verb	[2, 46, 3]	預料、預見、期盼; ; |anticipate
anticipation	noun	[2, 46, 3]	預料、預見、期盼; ; |anticipate
antique	noun/adj.	[2, -1, 2]	古董、古物；古老的、古董的; 
antonym	noun	[2, -1, 2]	反義詞; 
anxiety	noun	[1, -1, 2]	焦慮、憂慮; 
anxious	adj.	[1, -1, 2]	焦慮的、不安的；渴望做某事; 
any	pron./adj.	[0, -1, 2]	任何一個、一些；任何的、絲毫的; 
any	adv.	[0, -1, 2]	(用於否定或疑問句)稍、根本; 
anybody	pron.	[0, -1, 2]	任何人; = anyone
anyhow	adv.	[1, -1, 2]	無論如何; 
anymore	adv.	[0, -1, 2]	再也不、不再; =any more
anyone	pron.	[0, -1, 2]	任何人; = anybody
anything	pron.	[0, -1, 2]	任何東西、任何事情; 
anytime	adv.	[0, -1, 2]	在任何時候; =any time
anyway	adv.	[0, -1, 2]	無論如何、不管怎樣、反正; 
anywhere	adv.	[0, -1, 2]	任何地方; = anyplace
apart	adv./adj.	[1, -1, 2]	(空間或時間的)分隔、相隔；分離的; 
apartheid	noun	[2, -1, 2]	(南非)種族隔離; 
apartment	noun	[0, -1, 2]	公寓; = flat (British English)
ape	noun	[1, -1, 2]	人猿; 
ape	verb	[1, -1, 2]	模仿、學...的樣子; 
apologize	verb	[0, -1, 2]	道歉; = apoligise (British English)
apology	noun	[1, -1, 2]	道歉; 
app	noun	[1, -1, 2]	應用程式; 
appall	verb	[2, -1, 2]	使驚駭、使大為震驚; = appal (British English)
appalling	adj.	[2, -1, 2]	令人震驚的、糟糕的; 
apparatus	noun	[2, -1, 2]	儀器、設備；(政府的)組織、機構; 
