字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
authorize	verb	批准、授權	= authorise (British English)	中高級			L5
auto	noun	汽車		中高級			L3
autobiography	noun	自傳		中級			L4
autograph	noun/verb	親筆簽名；在...上簽名		中高級			L4
automatic	adj.	自動的		中級			L3
automation	noun	自動化		中高級
automobile	noun	汽車	= auto	中級			L3
autonomous	adj.	自治的、自主的		中高級
autonomy	noun	自治(權)、自主(權)		中高級			L5
autumn	noun	秋天	= fall	初級		1200
auxiliary	noun	助動詞	= aux.	中級
auxiliary	noun/adj.	輔助人員；輔助的		中級
avail	verb/noun	(對人或物)有幫助；幫助、效益		中高級
available	adj.	有空的、可獲得的		初級	L1	800	L2
avenue	noun	大街；途徑、管道、方法		中級			L3
average	adj./noun/verb	平均的；平均數；平均為		中級			L2
avert	verb	防止、避開		中高級			L6
aviary	noun	大鳥籠、鳥舍		中高級
aviation	noun	航空、航空製造業、飛行		中高級			L6
avoid	verb	避免、避開		初級		800	L2
await	verb	等待		中級			L4
awake	adj./verb	醒著；醒來、喚起		中級			L3
awaken	verb	醒來、喚醒		中級			L3
award	noun/verb	獎、獎金、獎品；獎勵、授予		中級			L3
aware	adj.	意識到、發覺、有...意識的		初級	L5		L3
away	adv.	去別處、(距此)...遠、逐漸消失		初級		1200	L1
awe	noun/verb	敬畏、驚嘆		中高級			L5
awesome	adj.	令人驚嘆的、很棒的		中高級			L6
awful	adj.	很壞的、糟糕的、令人不愉快的		中級			L3
awhile	adv.	一會兒		中高級			L6
awkward	adj.	令人尷尬的；難對付的；笨拙的		中級			L3
ax	verb	用斧頭劈、砍掉；裁減、撤銷、開除	= axe (British English)	中級
ax	noun	斧頭；裁減、解雇	= axe (British English)	中級
axis	noun	軸、軸線		中高級
baby	noun	嬰兒、幼稚的人、(暱稱)寶貝		初級		1200	L1
babysit	verb	當臨時保姆	= baby-sit	初級
babysitter	noun	保姆	= baby-sitter=baby sitter	初級
bachelor	noun	單身漢；學士		中高級			L6
back	noun/adj.	背部、後面；背部的、後面的		初級		1200	L1
back	adv.	回原處、返回、向後、在背面		初級		1200	L1
back	verb	贊助、支持；使倒退、後退		初級		1200	L1
