字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
few	pron./adj.	少數的		初級		1200	L1
fiancé	noun	未婚夫	未婚夫為fiancé，未婚妻為fiancée	中高級			L6
fiber	noun	纖維	= fibre (British English)	中高級			L5
fiction	noun	小說、虛構的事		中級			L4
fiddle	noun	小提琴		中高級
fiddle	verb	隨意擺弄；偽造		中高級
fidelity	noun	忠貞、忠誠、精確		中高級
field	noun	田地；運動場；領域		初級			L2
fierce	adj.	激烈的、兇猛的		中級			L4
fifteen	number/pron./noun/adj.	十五		初級		1200
fifty	number/pron./noun/adj.	五十		初級		1200
fight	verb/noun	打架、爭吵、抗爭		初級		1200	L1
fighter	noun	戰士、打者；戰鬥機		中級			L3
figure	noun	數字、圖表		初級			L2
figure	verb	認為、計算		初級			L2
file	noun	檔案		中級	L7	1200	L1
file	verb	把(文件)歸檔；提出(訴訟、申請等)		中級	L7		L1
fill	verb	裝滿		初級		1200	L1
film	noun	電影		初級		800	L1
filter	verb	過濾；穿透、滲入		中高級			L5
filter	noun	過濾器		中高級			L5
fin	noun	魚鰭		中高級			L6
final	adj.	最後的		初級	L2	800	L2
final	noun	期末考		初級	L2	800	L2
finance	noun/verb	金融、財政；(提供)資金		中級	L1		L4
financial	adj.	財務的、金融的		中級			L4
find	verb	找到；感到		初級		1200	L1
finding	noun	發現、調查結果、研究結果		中高級
fine	adj.	很好的		初級		1200	L1
fine	verb/noun	處以罰金；罰金		初級		1200	L1
finger	noun	手指		初級		1200	L1
finish	verb/noun	結束		初級		1200	L1
finite	adj.	有限的		中高級	L7		L6
fire	noun	火		初級		1200	L1
fire	verb	開火、發射；開除		初級		1200	L1
firecracker	noun	鞭炮		中高級			L6
firefighter	noun	消防員	= fireman	中高級
fireplace	noun	壁爐		中級			L4
fireproof	adj.	防火的		中高級			L6
firework	noun	煙火		中級			L3
firm	noun	公司		初級			L2
firm	adj.	堅固的		初級			L2
first	adj./adv./pron.	首先		初級		1200	L1
first-class	adj./adv.	一流的(地)、頭等的(地)	= first class	中高級
fiscal	adj.	財政的、會計的		中高級			L5
fish	noun/verb	魚；釣魚		初級		1200	L1
fisherman	noun	漁民		初級		1200	L2
fishery	noun	漁業、漁場		中高級			L6
fist	noun/verb	拳頭;握拳、拳打		中級			L3
fit	noun	一陣；(病)發作		中級		800	L2
fit	verb	合適		初級		800	L2
fit	adj	健壯的、健康的		初級		800	L2
fitting	noun	試衣服		中高級
fitting	adj.	適合的、恰當的		中高級
five	number/pron./noun/adj.	五		初級		1200
fix	verb	修理		初級		1200	L2
fixed	adj.	固定的、不變的		中高級
fixture	noun	(房屋內)固定裝置或裝潢		中高級
flag	noun	旗		初級		800	L2
flake	noun/verb	小薄片；(成片)脫落		中高級			L6
flame	noun/verb	火焰；燃燒		中級			L3
flank	noun/verb	側腹、側面；位於側面		中高級
flap	verb	拍打		中高級
flap	noun	拍打聲；		中高級
flare	noun/verb	火焰、照明彈；燃燒、爆發		中高級
flash	noun/verb	閃光、(想法)掠過		中級			L3
flashlight	noun	手電筒		初級		800	L3
flat	noun	公寓	= apartment	初級		800	L2
flat	adj.	平坦的		初級		800	L2
flat tire	noun	沒氣的輪胎		初級
flatter	verb	奉承		中級			L4
flavor	noun/verb	味道；調味	= flavour (British English)	中級			L3
flaw	noun/verb	缺點、瑕疵；使有缺陷		中高級			L6
flea	noun	跳蚤		中級			L4
flee	verb	逃離		中級			L4
fleet	noun	艦隊		中高級			L5
flesh	noun	肉		中級			L3
flexible	adj.	有彈性的		中級	L6		L4
flick	verb/noun	輕彈；彈掉(聲)		中高級
flicker	verb/noun	閃爍、一閃而過		中高級
flight	noun	航程、班機		初級		800	L2
fling	noun	短暫的快樂時光		中高級
fling	verb	(用力)扔擲、猛烈地做		中高級
float	verb/noun	漂浮、飄動；浮板		中級			L3
flock	noun/verb	(羊或鳥)群、人群；聚集		中級			L3
flood	noun/verb	水災；淹水、氾濫		中級			L3
flooding	noun	水災		中級
floor	noun	地板、樓層		初級		1200	L1
flop	verb/noun	重重落下、失敗		中高級
flounder	noun	比目魚		中高級
flounder	verb	掙扎、陷入困境		中高級
flour	noun	麵粉		初級		800	L3
flourish	verb	茁壯、繁盛		中高級			L6
flourish	noun	(引起注意的)誇張動作		中高級			L6
flow	noun/verb	流動		初級			L2
flower	noun	花		初級		1200	L1
flu	noun	流行性感冒		初級		800	L2
fluctuate	verb	波動、變動		中高級	L8
fluency	noun	流利		中高級			L5
fluent	adj.	流利的		中級			L4
fluid	noun/adj.	液體；易變的、流暢的、流動的		中高級			L5
flunk	verb	(使)不及格		中高級			L6
flush	verb/noun	臉紅；沖馬桶		中級			L4
flute	noun	長笛		初級		800	L3
flutter	verb/noun	振翅、(旗)飄揚、不規則跳動		中高級
fly	verb	飛		初級		1200	L1
fly	noun	蒼蠅		初級		1200	L1
foam	noun/verb	泡沫；起泡沫		中級			L4
focus	noun/verb	焦點；聚焦		初級	L2	800	L2
foe	noun	敵人		中高級			L6
fog	noun	霧		初級		800	L2
foggy	adj.	多霧的		中級		800	L3
foil	noun	(金屬)箔；陪襯物		中高級
foil	verb	阻止		中高級
fold	verb/noun	摺疊；褶(痕)		中級			L3
folk	noun/adj.	人們；民俗的、民間的		中級			L2
folklore	noun	民間傳說、民俗		中高級			L6
follow	verb	跟隨、接著、遵循		初級		1200	L1
follower	noun	追隨者		中級			L3
following	adj./prep./pron./noun	接著的、下列的；在…之後；下列事物；追隨者		初級			L2
follow-up	noun	後續(行動)		中高級
fond	adj.	喜歡的		中級			L3
food	noun	食物		初級		1200	L1
fool	noun/adj.	傻瓜；愚蠢的		初級		1200	L1
fool	verb	愚弄、欺騙		初級		1200	L1
foolish	adj.	愚蠢的		初級		800	L2
foot	noun	腳		初級		1200	L1
footage	noun	一段影片		中高級
football	noun	足球		初級		800	L2
footstep	noun	腳步(聲)		中高級
for	prep.	為了、給、(時間、距離)達		初級		1200	L1
for	conj.	因為		初級		1200	L1
forbid	verb	禁止、阻止		中級			L4
forbidden	adj.	禁止的		中高級
force	noun	力量		初級			L2
force	verb	強迫		初級			L2
forecast	noun/verb	預報；預測		中級			L4
forehead	noun	額頭	= brow (British English)	中級
foreign	adj.	外國的		初級		1200	L1
foreigner	noun	外國人		初級		1200	L1
foremost	adj.	最重要的、最佳的		中高級
foresee	verb	預見		中級
forest	noun	森林		初級		800	L2
forever	adv.	永遠		中級			L3
forge	noun	熔鐵廠		中高級			L5
forge	verb	鍛造、偽造、創造		中高級			L5
forget	verb	忘記		初級		1200	L1
forgetful	adj.	健忘的		中級
forgive	verb	原諒		初級		800	L2
fork	noun	叉子		初級		1200	L1
form	noun	表格、形狀		初級		800	L2
form	verb	組成		初級		800	L2
formal	adj.	正式的		初級		800	L2
format	noun/verb	模式、格式；編排格式、格式化		中高級	L9		L5
formation	noun	組成		中級			L4
former	pron./adj.	前者；從前的		初級		800	L2
formidable	adj.	令人敬畏的、難對付的		中高級			L6
formula	noun	公式、方程式		中級	L1		L4
formulate	verb	制訂、構想、闡明		中高級			L6
forsake	verb	拋棄、摒棄		中高級			L6
fort	noun	要塞、堡壘		中級			L4
forth	adv.	向前		中級			L2
forthcoming	adj.	即將到來的		中高級	L10		L6
fortify	verb	加強、增強		中高級			L6
fortnight	noun	兩星期		中高級
fortunate	adj.	幸運的		中級			L4
fortune	noun	運氣、命運；財富		中級			L3
forty	number/pron./noun/adj.	四十		初級		1200
forum	noun	論壇、討論會		中高級			L5
forward	adv./adj.	向前；前面的	adv.= forwards（British English）	初級		800	L2
fossil	noun/adj.	化石、守舊的人；化石的、守舊的		中高級			L4
foster	adj./verb	寄養的；寄養、培養		中高級			L5
foul	adj.	糟糕的、粗鄙的		中高級			L5
foul	verb	犯規、弄髒		中高級			L5
foul	noun	犯規		中高級			L5
found	verb	創辦、建立		中級	L9		L2
foundation	noun	創辦；基礎；基金會		中級	L7		L4
founder	noun	創辦者、建立者		中級			L4
fountain	noun	噴泉、噴水池		中級			L3
four	number/pron./noun/adj.	四		初級		1200
fourteen	number/pron./noun/adj.	十四		初級		1200
fowl	noun	家禽、鳥		中高級			L6
fox	noun	狐狸		初級		1200	L2
fraction	noun	分數、小部分、一點點		中高級			L5
fracture	noun/verb	斷裂、骨折		中高級			L6
fragile	adj.	易碎的、脆弱的、纖細的		中高級			L4
fragment	noun/verb	碎片；(使成)碎片		中高級			L5
fragrance	noun	香味、香水		中級			L6
fragrant	adj.	芳香的		中高級			L6
frail	adj.	虛弱的、易損壞的		中高級
frame	verb/noun	裝框、構想；架構、框架		中級			L4
framework	noun	架構、體系		中高級	L3		L5
franc	noun	法郎		中高級
France	noun	法國		初級
franchise	noun/verb	加盟權、加盟商店；給予加盟權		中高級			L5
frank	adj.	坦白的		初級		800	L3
frantic	adj.	發狂似的、緊張忙亂的		中高級			L6
fraud	noun	詐騙、騙子		中高級			L5
freak	adj./noun	怪異的；怪人、怪物		中高級			L6
freak	verb	嚇壞、極度激動		中高級			L6
free	adj.	空閒、免費、自由的		初級		1200	L1
free	verb	使自由		初級		1200	L1
freedom	noun	自由		初級		800	L2
freeway	noun	高速公路	= motorway (British English)	中級			L6
freeze	verb	結冰、冷凍；呆住、不動		中級			L3
freezer	noun	冰箱		初級		800	L3
freezing	adj.	極冷的、冰凍的		中級		800
French fries	noun	炸薯條		初級		1200
frequency	noun	頻繁、頻率		中級			L4
frequent	adj./verb	頻繁的；常去(某處)		中級			L3
fresh	adj.	新鮮的		初級		1200	L1
freshman	noun	(高中或大學)一年級新生		中級			L4
fret	verb	苦惱、發愁		中高級
friction	noun	摩擦(力)、不和		中高級			L6
Friday	noun	星期五	= Fri.	初級		1200
fridge	noun	冰箱	= refrigerator	中級		1200
friend	noun	朋友		初級		1200	L1
friendly	adj.	友善的		初級		1200	L1
friendship	noun	友誼		初級		800	L2
fright	noun	驚嚇、恐怖		中級			L3
frighten	verb	使驚恐		初級		800	L3
fringe	noun	邊緣；穗狀物		中高級
fringe	verb	邊緣有著		中高級
frisbee	noun	飛盤		初級		800
frog	noun	青蛙		初級		1200	L1
from	prep.	從		初級		1200	L1
front	noun/adj.	前面；前面的		初級		1200	L1
frontier	noun	邊境；新領域		中高級			L5
front-page	adj.	頭版的、重要的		中高級
frost	noun/verb	霜、嚴寒；結霜		中級			L4
frosty	adj.	結霜的、嚴寒的		中級
frown	verb/noun	皺眉、表示不滿；皺眉、不悅之色		中級			L4
frozen	adj.	冷凍的		中級
fruit	noun	水果		初級		1200	L1
fruitful	adj.	有成果的、富饒多產的		中高級
frustrate	verb	挫敗、使灰心		中級			L4
frustration	noun	沮喪、挫折		中高級			L4
fry	verb/noun	炒、炸；油炸物		初級		1200	L2
fuel	noun/verb	燃料、提供燃料；刺激因素、刺激		中級			L3
fulfill	verb	實現、履行	= fulfil (British English)	中級			L4
full	adj.	滿的、充滿的		初級		1200	L1
full-time	adj./adv.	全職的(地)、全日的(地)		中級
fully	adv.	完全地、充分地		中級
fume	verb	發怒；冒煙		中高級			L6
fumes	noun	(有害的)煙、廢氣		中高級
fun	noun/adj.	樂趣；有趣的		初級		1200	L1
function	noun/verb	功用；發揮功用		初級	L1		L2
functional	adj.	實用的、功能的		中級	L1		L4
fund	noun/verb	資金、基金；資助		中級	L3		L3
fundamental	adj.	根本的、基礎的		中級	L5		L4
fundamentalism	noun	基要主義、基本教義派		中高級
fundamentalist	noun/adj.	基要主義者、基本教義派人士；基要主義的、基本教義派的		中高級
funding	noun	基金、經費		中高級
funeral	noun	葬禮		中級			L4
funny	adj.	有趣的、好笑的		初級		1200	L1
fur	noun	毛(皮)		中級			L3
furious	adj.	盛怒的		中級			L4
furnace	noun	火爐、暖氣爐		中高級
furnish	verb	配備傢俱		中級			L4
furniture	noun	傢俱		初級		800	L2
further	adv./adj.	進一步地；進一步的		初級			L2
furthermore	adv.	而且、此外		中級	L6		L4
fury	noun	狂怒、狂暴		中高級			L6
fuse	noun	保險絲、引線		中高級			L6
fuse	verb	熔合、結合		中高級			L6
fusion	noun	融合		中高級
fuss	noun/verb	大驚小怪、(對小事)過於煩惱		中高級			L6
future	noun/adj.	未來；未來的		初級		1200	L1
gain	verb/noun	獲得、增加；利潤		初級		800	L2
galaxy	noun	星系、銀河(系)		中高級			L5
gallery	noun	畫廊、展覽館		中級			L4
gallon	noun	加侖		中級			L3
gallop	noun/verb	(馬)疾馳		中高級			L6
gamble	verb/noun	賭博、打賭		中級			L3
gambler	noun	賭徒		中級
game	noun	比賽		初級		1200	L1
gang	noun/verb	幫派、一夥(朋友)；結夥		中級			L3
gangster	noun	歹徒、流氓		中級			L6
gap	noun	缺口、縫隙、差距		中級			L3
garage	noun	車庫		初級		800	L3
garbage	noun	垃圾		初級		1200	L2
garden	noun	花園		初級		1200	L1
gardener	noun	園丁		中級			L2
garlic	noun	大蒜		中級			L2
garment	noun	衣服、穿著		中高級			L6
gas	noun	瓦斯、氣體		初級		1200	L3
gaseous	adj.	氣體(狀態)的		中高級
gasoline	noun	石油	= gas= petrol	初級			L3
gasp	noun/verb	倒抽一口氣、喘氣		中高級			L5
gate	noun	大門、柵門		初級		1200	L1
gather	verb	聚集		初級		800	L2
gathering	noun	集會		中高級			L5
gathering	noun	收集		中高級			L5
gathering	adj.	增加的		中高級
gauge	verb/noun	測量、判斷；測量儀器		中高級			L6
gay	adj.	同性戀的、愉快的		中級			L6
gaze	verb/noun	凝視、注視		中級			L4
gear	noun	(汽車)排檔、齒輪；裝備、用具		中級			L4
gear	verb	使適合		中級			L4
gel	verb/noun	膠化、凝膠		中高級
gender	noun	性別		中高級	L6		L4
gene	noun	基因		中級			L4
general	adj.	一般的、普遍的		初級		800	L2
general	noun	將軍		初級		800	L2
generalize	verb	概括、歸納		中高級
generate	verb	造成、創造、產生(熱、光、電)		中高級	L5		L5
generation	noun	世代		初級	L5		L4
generator	noun	發電機、產生器		中高級			L5
generosity	noun	慷慨、大方		中級			L4
generous	adj.	慷慨的、大方的		初級		800	L2
genetic	adj.	基因的		中高級			L5
genetics	noun	遺傳學		中高級			L5
genius	noun	天才		初級		800	L4
genre	noun	(文藝作品)類型		中高級			L5
gentle	adj.	溫和的		初級		800	L2
gentleman	noun	紳士、先生		初級		800	L2
genuine	adj.	真的、真誠的		中級			L4
geographical	adj.	地理的	= geographic	中高級			L6
geography	noun	地理學		初級		800	L3
geology	noun	地質學		中高級
geometry	noun	幾何學		中高級			L6
germ	noun	微生物、細菌		中級			L4
Germany	noun	德國		初級
gesture	noun/verb	手勢；做手勢		初級		800	L3
get	verb	使…成為、獲得、到達		初級		1200	L1
ghetto	noun	貧民區		中高級
ghost	noun	鬼		初級		1200	L1
giant	adj./noun	巨大的；巨人		初級		1200	L1
gift	noun	禮物		初級		1200	L1
gifted	adj.	有天賦的		中級			L4
gigantic	adj.	巨大的		中級			L4
giggle	verb/noun	咯咯笑		中級			L4
gilt	adj./noun	鍍金的；鍍金		中高級
ginger	noun	薑		中級			L4
giraffe	noun	長頸鹿		中級			L2
girl	noun	女孩		初級		1200	L1
girlfriend	noun	女朋友		中級
give	verb	給		初級		1200	L1
given	adj.	規定的、特定的		中高級
given	prep.	考慮到、鑒於		中高級
glacier	noun	冰河		中高級			L6
glad	adj.	高興的		初級		1200	L1
glamor	noun	魅力	= glamour (British English) 	中高級
